	conditionID	data_rep	fit_rep	loglik	lmax	ncat	ntips	nOGs	cpy_change_rates	cpy_root_probs	cat_switch_rates	cat_root_probs
178	cond18	9	4	-243763.6526017368	5	3	128	4000	0.02586952095048627	0.060970192336163076	0.2730140429415912	0.012283553412763937
179	cond18	10	9	-272092.3441293115	5	3	128	4000	0.056763732534359984	0.08058564054141525	0.5854575706745427	0.0047381569661017475
180	cond19	1	6	-217303.29207473766	6	3	128	4000	0.06773423299698063	0.03020795930264708	0.4778609940213186	0.016469966238914113
181	cond19	2	7	-258923.33131843404	6	3	128	4000	0.17089669424756376	0.036066677286273795	0.2812310793814548	0.012191079621445777
182	cond19	3	7	-250412.15734068968	6	3	128	4000	0.08389831799199819	0.08138044967485163	0.6276337122192883	0.04448593890630853
183	cond19	4	1	-191461.50367539522	6	3	128	4000	0.11315700782252996	0.06389857996359216	0.804024336617018	0.012704844805043858
184	cond19	5	8	-261086.03344623285	6	3	128	4000	0.08481346755667879	0.03739112547541552	0.8124354752527326	0.025600343676369375
185	cond19	6	5	-244310.61513922288	6	3	128	4000	0.08724459683245314	0.0686912330266965	0.603879327193633	0.025450639967565913
186	cond19	7	9	-243296.51011988107	6	3	128	4000	0.3228214841341951	0.23152812659138952	0.8544501902268661	0.08537435885931799
187	cond19	8	5	-264000.3085552123	6	3	128	4000	0.06921114930692378	0.06630009573927577	0.6030532500875361	0.01514618946014834
188	cond19	9	3	-237482.2968081233	6	3	128	4000	0.07847570954535923	0.060289042981918915	0.33555348742443175	0.015058938548667411
189	cond19	10	5	-253465.66357414145	6	3	128	4000	0.043211610906235855	0.12398267214006381	0.6150338831941154	0.023172532131800427
